redshift, Fryer, Muller&Mandel, Muller&Mandel(f_WR=0.2), Schneider 
14.388403,8.218829259214362e-05,4.2811090838903295e-05,0.0,2.751469232813675e-05
14.14165,0.00185938409335493,0.0005833532059624118,0.00012049834506712395,4.057507110271616e-05
13.898689,0.006578638149624145,0.0012034677163085313,0.00010274068564114955,0.0
13.659533,0.0103502115196768,0.0018491727071146995,0.0002768838806120335,0.0006680708071371965
13.424395,0.016516010246010685,0.0031896991511940766,0.0008056627743883344,0.0008037201151063373
13.192852,0.024808830054486863,0.0062386568832547154,0.0018752957521523874,0.00028979235070113353
12.965116,0.03551995544082408,0.0074096728802211355,0.0018588291812349884,0.001130333334017964
12.741171,0.05456220554606825,0.012745574231280367,0.0047428085846302065,0.0017520961595032048
12.520639,0.07308112935184355,0.018885645869288616,0.006343102679677404,0.0022258875681987677
12.30371,0.0966636856504557,0.029984990989793986,0.011919920374724117,0.00513757057246544
12.090204,0.1352212999211993,0.04811444762594765,0.023715466316286352,0.004345665772749789
11.880125,0.1788764862519844,0.06257866658311964,0.026358709022292558,0.00680131347963357
11.673468,0.23443284758624736,0.07989689167407671,0.033967066538290756,0.008498300541443722
11.470227,0.3197581201785283,0.1062197681748638,0.03965613439567287,0.011054874566156173
11.270089,0.40683220173425255,0.134762518846708,0.045103339638319355,0.017174478644651336
11.073212,0.5218516302551985,0.1799327108463919,0.0742115535127908,0.01953390336186572
10.879447,0.6796371779591835,0.24272751410048546,0.09582519454935977,0.026826148270541552
10.688934,0.897877839555062,0.31914529177130074,0.11839141393429752,0.029372772836625392
10.501391,1.1245906303381563,0.387489787400871,0.1533093477955157,0.03829293977848494
10.316826,1.4281901234148044,0.46421667625358776,0.18393959688555464,0.04751286031281869
10.135238,1.7952390688276751,0.5735258486539404,0.24107690504011445,0.05550769692485715
9.956503,2.230563919480533,0.6970317996120331,0.2965836594525606,0.0678306921671153
9.780742,2.7528140617874706,0.8419810225710386,0.36592686119531365,0.0832094230261862
9.607828,3.39301472356037,1.0244988455661703,0.45337831178517446,0.09589860687743058
9.437542,4.11147829446034,1.2020236196898522,0.5561949376837999,0.11113201773053952
9.270103,4.970088282529397,1.4443325178294217,0.6658255988612857,0.13701665379644073
9.105297,5.946446209736436,1.6893572741288503,0.7527845903166724,0.15436542428888334
8.943126,7.119390038724555,1.966165477186337,0.9564350664788777,0.18663951034862464
8.783587,8.38888751464453,2.28583685447499,1.1079937943478144,0.21020365323378584
8.6266775,9.924173701219141,2.637488982630723,1.3372693139701193,0.24292126858238458
8.472209,11.64914212282619,3.0643073358475945,1.5498175278522934,0.26853933463098306
8.320186,13.529310357054097,3.5661522030017725,1.852866420202842,0.3096511649328592
8.170694,15.685635612110545,4.0415800757883975,2.1863785931352018,0.3624026882233463
8.023561,18.025758859567812,4.576649527759154,2.449809415985612,0.39802296493782985
7.878708,20.680177137544387,5.103243940318128,2.769218570104709,0.43417746003273555
7.7362947,23.422327340835484,5.691964011186205,3.133854453433218,0.48904086574845385
7.596087,26.42909314481927,6.4407347044910495,3.638285867089496,0.5428237698523548
7.458162,29.76531364854469,7.1831098876272454,4.200543512529388,0.586079967582675
7.322445,33.23411317046594,7.925263542614169,4.525381544996937,0.6601063402427924
7.1889353,37.0798978822957,8.725966946105336,5.132273546764242,0.7421127535293238
7.0575633,41.12419645730011,9.669298431206737,5.733714712449987,0.8214166049703293
6.928265,45.58188114239342,10.650343751357605,6.37250954479936,0.9111623646730002
6.801042,50.23342557797014,11.625542053024027,6.8886480699458605,0.9914915693400935
6.6758933,54.93338784514076,12.676383903624494,7.574616762988602,1.0716239597393353
6.552699,60.10001594732893,13.816464781056995,8.535721139108771,1.1870117702856315
6.4315186,65.43013206098514,15.012590300751423,9.160262872798153,1.2789497960829521
6.3122935,71.21012264754373,16.239659842281505,10.002049131519293,1.366781258246562
6.194969,76.96576964026424,17.41830723750786,10.979506676041092,1.4895473449048484
6.0794954,83.20354491708387,18.596849115057832,11.969950535512268,1.5495229449844397
5.965923,89.24993215721155,19.797571298677507,12.644490966625998,1.6917826978672386
5.8541503,95.72190725497197,21.133339424744676,13.606295788834755,1.8500205777512246
5.7441797,102.2642838278934,22.46045224384725,14.610291192462688,1.9299663996860956
5.6359644,108.86234946885546,23.70438304332107,15.601592267577876,2.066959095244304
5.5295033,116.14293828643521,24.93719384355407,16.40948658694559,2.1567599911847344
